{
  meta: {
    req: {
      url: '/v1/ngawas',
      headers: {
        'content-type': 'application/json',
        authorization: 'eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1aWQiOiJWVEpHYzJSSFZtdFlNUzlCZFVNeU4wWTNRVkZXTm1oMGNIZENkSGREY201M1RYTTJiRklyYVZSdlFUMCIsInRpbWVzdGFtcCI6MTY4NzQyNjQ2MiwiaWF0IjoxNjg3NDI2NDYyLCJleHAiOjE3MTg5ODQwNjIsImF1ZCI6IkcyMCIsImlzcyI6IktvcmxhbnRhc1BvbHJpIiwic3ViIjoiSzNJRzIwIn0.Kq3lk9GohVRQM8ak9UswZPAdemRDzEELJyqSly45epM7bq2NIAwP0TqzzC2h33tusoat4SmtuPonDSyisTy5Xg',
        'user-agent': 'PostmanRuntime/7.29.2',
        accept: '*/*',
        'postman-token': 'e82298bb-ee6f-436a-8f62-747bb0b05827',
        host: 'localhost:3001',
        'accept-encoding': 'gzip, deflate, br',
        connection: 'keep-alive',
        tokenData: {
          authData: {
            uid: 'VTJGc2RHVmtYMS9BdUMyN0Y3QVFWNmh0cHdCdHdDcm53TXM2bFIraVRvQT0',
            timestamp: 1687426462,
            iat: 1687426462,
            exp: 1718984062,
            aud: 'G20',
            iss: 'KorlantasPolri',
            sub: 'K3IG20'
          },
          userId: '554'
        }
      },
      method: 'GET',
      httpVersion: '1.1',
      originalUrl: '/v1/ngawas',
      query: {}
    },
    res: {
      statusCode: 200,
      body: {
        isSuccess: true,
        statusCode: 200,
        responseMessage: 'Succeed',
        data: {
          total_page: 5,
          recordsFiltered: 43,
          recordsTotal: 43,
          count: 43,
          rows: [
            {
              id: 'VTJGc2RHVmtYMThabHJuaUhVeFJzWWYrWC80R3RIU09LUGh4bHhZTTM5ST0',
              code: 'TRP/0523/C/00000169',
              user_id: 224,
              vehicle_id: 206,
              brand_id: 1,
              type_id: 1,
              distance: '90.0 Km',
              duration: '1 Jam 32 Menit ',
              departure_date: '2023-05-26',
              departure_time: '21:20:00',
              start_coordinate: { latitude: -6.592187, longitude: 106.809744 },
              end_coordinate: { latitude: -6.461697, longitude: 106.284955 },
              route: [
                { latitude: -6.450923, longitude: 106.284955 },
                { latitude: -6.450923, longitude: 106.284955 },
                { latitude: -6.450923, longitude: 106.284955 },
                { latitude: -6.450923, longitude: 106.285236 },
                { latitude: -6.450908, longitude: 106.285773 },
                { latitude: -6.450961, longitude: 106.286244 },
                { latitude: -6.451014, longitude: 106.28647 },
                { latitude: -6.45103, longitude: 106.286652 },
                { latitude: -6.451014, longitude: 106.286734 },
                { latitude: -6.45097, longitude: 106.286797 },
                { latitude: -6.450907, longitude: 106.286856 },
                { latitude: -6.450801, longitude: 106.286942 },
                { latitude: -6.450742, longitude: 106.28701 },
                { latitude: -6.450719, longitude: 106.287087 },
                { latitude: -6.450737, longitude: 106.287189 },
                { latitude: -6.450858, longitude: 106.287471 },
                { latitude: -6.450869, longitude: 106.287558 },
                { latitude: -6.450849, longitude: 106.287655 },
                { latitude: -6.450795, longitude: 106.287763 },
                { latitude: -6.45055, longitude: 106.288009 },
                { latitude: -6.450428, longitude: 106.288165 },
                { latitude: -6.450332, longitude: 106.288374 },
                { latitude: -6.4503, longitude: 106.28853 },
                { latitude: -6.450294, longitude: 106.288691 },
                { latitude: -6.450316, longitude: 106.288819 },
                { latitude: -6.450348, longitude: 106.2889 },
                { latitude: -6.450481, longitude: 106.289088 },
                { latitude: -6.450513, longitude: 106.289163 },
                { latitude: -6.450588, longitude: 106.289452 },
                { latitude: -6.450598, longitude: 106.289613 },
                { latitude: -6.450534, longitude: 106.290386 },
                { latitude: -6.450522, longitude: 106.290514 },
                { latitude: -6.450476, longitude: 106.290691 },
                { latitude: -6.450417, longitude: 106.290804 },
                { latitude: -6.450257, longitude: 106.29103 },
                { latitude: -6.45021, longitude: 106.291111 },
                { latitude: -6.450182, longitude: 106.291212 },
                { latitude: -6.450173, longitude: 106.291308 },
                { latitude: -6.450193, longitude: 106.291421 },
                { latitude: -6.450262, longitude: 106.291759 },
                { latitude: -6.450284, longitude: 106.291974 },
                { latitude: -6.45027, longitude: 106.292449 },
                { latitude: -6.450271, longitude: 106.293059 },
                { latitude: -6.450299, longitude: 106.293303 },
                { latitude: -6.450294, longitude: 106.293494 },
                { latitude: -6.450251, longitude: 106.293701 },
                { latitude: -6.450252, longitude: 106.293808 },
                { latitude: -6.450275, longitude: 106.293931 },
                { latitude: -6.450353, longitude: 106.294087 },
                { latitude: -6.45038, longitude: 106.294216 },
                { latitude: -6.450492, longitude: 106.295246 },
                { latitude: -6.450561, longitude: 106.295493 },
                { latitude: -6.450552, longitude: 106.295536 },
                { latitude: -6.450513, longitude: 106.295594 },
